An,Bn
1.01577882670263,31.2
1.01577882670263,32.5
1.01577882670263,33.25
1.01577882670263,35.1
1.01577882670263,35.45
1.01577882670263,35.5
1.01577882670263,36.45
1.01577882670263,36.8
1.01577882670263,37.2
1.01577882670263,37.6
1.01577882670263,38.4
1.01577882670263,38.9
1.01577882670263,39.25
1.01577882670263,40.15
1.01577882670263,41.1
1.01577882670263,41.3
1.01577882670263,41.45
1.01577882670263,41.9
1.01577882670263,43.7
1.01577882670263,45.8
1.18220701454234,36.95
1.18220701454234,40.25
1.18220701454234,41.35
1.18220701454234,41.8
1.18220701454234,42.2
1.18220701454234,42.4
1.18220701454234,42.95
1.18220701454234,43.25
1.18220701454234,43.8
1.18220701454234,43.95
1.18220701454234,44.95
1.18220701454234,46.05
1.18220701454234,46.7
1.18220701454234,48
1.18220701454234,48.5
1.18220701454234,49.6
1.18220701454234,50.75
1.18220701454234,51.1
1.18220701454234,52.65
1.18220701454234,53.35
1.19838056680162,34.3
1.19838056680162,34.95
1.19838056680162,35.35
1.19838056680162,36.85
1.19838056680162,37.05
1.19838056680162,39.7
1.19838056680162,40.75
1.19838056680162,41.45
1.19838056680162,41.8
1.19838056680162,43.05
1.19838056680162,43.7
1.19838056680162,44.7
1.19838056680162,45.45
1.19838056680162,47
1.19838056680162,49.25
1.19838056680162,49.3
1.19838056680162,50.3
1.19838056680162,51.9
1.19838056680162,56.4
1.19838056680162,60.5
1.38533270112217,31.6
1.38533270112217,32.15
1.38533270112217,32.5
1.38533270112217,32.65
1.38533270112217,34.15
1.38533270112217,34.95
1.38533270112217,35.15
1.38533270112217,35.35
1.38533270112217,35.5
1.38533270112217,36.35
1.38533270112217,36.65
1.38533270112217,39.7
1.38533270112217,39.75
1.38533270112217,40.05
1.38533270112217,40.55
1.38533270112217,40.7
1.38533270112217,41.2
1.38533270112217,42.55
1.38533270112217,43.65
1.38533270112217,43.8
1.39777587681779,19.65
1.39777587681779,21.4
1.39777587681779,22.65
1.39777587681779,22.9
1.39777587681779,25.15
1.39777587681779,25.7
1.39777587681779,25.85
1.39777587681779,26.75
1.39777587681779,27.1
1.39777587681779,27.5
1.39777587681779,28.2
1.39777587681779,28.25
1.39777587681779,28.35
1.39777587681779,29
1.39777587681779,29.5
1.39777587681779,30.55
1.39777587681779,30.75
1.39777587681779,31.3
1.39777587681779,31.75
1.39777587681779,34.35
1.40350877192982,29.8
1.40350877192982,29.95
1.40350877192982,30.85
1.40350877192982,31.3
1.40350877192982,32.25
1.40350877192982,32.35
1.40350877192982,32.95
1.40350877192982,35.25
1.40350877192982,36
1.40350877192982,36.1
1.40350877192982,36.3
1.40350877192982,36.35
1.40350877192982,36.7
1.40350877192982,36.9
1.40350877192982,38.05
1.40350877192982,38.25
1.40350877192982,40.3
1.40350877192982,41.05
1.40350877192982,51.75
1.56473489519112,35.65
1.56473489519112,36.95
1.56473489519112,37.2
1.56473489519112,37.55
1.56473489519112,37.7
1.56473489519112,37.85
1.56473489519112,38.6
1.56473489519112,40.3
1.56473489519112,40.5
1.56473489519112,40.6
1.56473489519112,40.6
1.56473489519112,40.85
1.56473489519112,40.95
1.56473489519112,41.05
1.56473489519112,43.2
1.56473489519112,43.5
1.56473489519112,44.55
1.56473489519112,45.3
1.56473489519112,46.1
1.56473489519112,49.6
1.69082969432314,48.7
1.69082969432314,49.35
1.69082969432314,49.65
1.69082969432314,49.65
1.69082969432314,49.75
1.69082969432314,49.85
1.69082969432314,51
1.69082969432314,51.25
1.69082969432314,51.6
1.69082969432314,52.1
1.69082969432314,52.15
1.69082969432314,53.3
1.69082969432314,53.6
1.69082969432314,53.9
1.69082969432314,54
1.69082969432314,54.55
1.69082969432314,54.65
1.69082969432314,54.7
1.69082969432314,54.8
1.69082969432314,55.5
1.83056768558952,19.25
1.83056768558952,20.9
1.83056768558952,21.95
1.83056768558952,22.6
1.83056768558952,23
1.83056768558952,23.1
1.83056768558952,23.9
1.83056768558952,23.9
1.83056768558952,24.85
1.83056768558952,25.1
1.83056768558952,25.3
1.83056768558952,25.5
1.83056768558952,25.8
1.83056768558952,26.7
1.83056768558952,27
1.83056768558952,27.4
1.83056768558952,27.55
1.83056768558952,27.65
1.83056768558952,28.4
